0.935	-2.00001	-0.247663
0.94	-1.99999	0.00233768
0.945	-1.99873	0.252337
0.95	-1.99622	0.502178
0.955	-1.99246	0.751706
0.96	-1.98746	1.00076
0.965	-1.98121	1.2492
0.97	-1.97373	1.49685
0.975	-1.96501	1.74356
0.98	-1.95507	1.98919
0.985	-1.9439	2.23357
0.99	-1.93151	2.47656
0.995	-1.91792	2.718
1	-1.90314	2.95774
1.005	-1.88716	3.19563
1.01	-1.87	3.43153
1.015	-1.85167	3.66528
1.02	-1.83219	3.89674
1.025	-1.81156	4.12576
1.03	-1.7898	4.35221
1.035	-1.76692	4.57593
1.04	-1.74294	4.7968
1.045	-1.71786	5.01466
1.05	-1.69172	5.2294
1.055	-1.66451	5.44086
1.06	-1.63627	5.64892
1.065	-1.607	5.85346
1.07	-1.57673	6.05433
1.075	-1.54547	6.25142
1.08	-1.51325	6.44461
1.085	-1.48008	6.63376
1.09	-1.44599	6.81877
1.095	-1.41099	6.99952
1.1	-1.37511	7.1759
1.105	-1.33837	7.34778
1.11	-1.30079	7.51508
1.115	-1.26241	7.67768
1.12	-1.22323	7.83548
1.125	-1.18329	7.98838
1.13	-1.1426	8.13629
1.135	-1.10121	8.27912
1.14	-1.05913	8.41677
1.145	-1.01638	8.54916
1.15	-0.972999	8.67621
1.155	-0.929009	8.79783
1.16	-0.88444	8.91396
1.165	-0.839317	9.02451
1.17	-0.79367	9.12943
1.175	-0.747527	9.22864
1.18	-0.700916	9.32208
1.185	-0.653868	9.40969
1.19	-0.606411	9.49143
1.195	-0.558575	9.56723
1.2	-0.510389	9.63705
1.205	-0.461885	9.70085
1.21	-0.413092	9.75858
1.215	-0.364041	9.81022
1.22	-0.314762	9.85573
1.225	-0.265287	9.89507
1.23	-0.215646	9.92823
1.235	-0.16587	9.95519
1.24	-0.11599	9.97592
1.245	-0.0660382	9.99042
1.25	-0.0160448	9.99868
1.255	0.0339586	10.0007
1.26	0.0839407	9.99644
1.265	0.13387	9.98594
1.27	0.183717	9.96921
1.275	0.233448	9.94625
1.28	0.283033	9.91706
1.285	0.332441	9.88169
1.29	0.381642	9.84013
1.295	0.430604	9.79242
1.3	0.479297	9.7386
1.305	0.527691	9.67869
1.31	0.575754	9.61273
1.315	0.623458	9.54076
1.32	0.670772	9.46282
1.325	0.717667	9.37898
1.33	0.764113	9.28927
1.335	0.810082	9.19376
1.34	0.855545	9.09249
1.345	0.900472	8.98555
1.35	0.944837	8.87299
1.355	0.988612	8.75489
1.36	1.03177	8.63131
1.365	1.07428	8.50234
1.37	1.11612	8.36806
1.375	1.15726	8.22854
1.38	1.19768	8.08388
1.385	1.23735	7.93417
1.39	1.27625	7.7795
1.395	1.31435	7.61997
1.4	1.35163	7.45568
1.405	1.38806	7.28672
1.41	1.42363	7.11322
1.415	1.45831	6.93526
1.42	1.49207	6.75297
1.425	1.5249	6.56647
1.43	1.55678	6.37585
1.435	1.58769	6.18126
1.44	1.6176	5.98279
1.445	1.6465	5.78059
1.45	1.67438	5.57478
1.455	1.70121	5.36548
1.46	1.72697	5.15283
1.465	1.75166	4.93696
1.47	1.77525	4.718
1.475	1.79773	4.4961
1.48	1.81908	4.27138
1.485	1.8393	4.044
1.49	1.85837	3.81409
1.495	1.87628	3.58179
1.5	1.89302	3.34725
1.505	1.90857	3.11063
1.51	1.92293	2.87205
1.515	1.93609	2.63169
1.52	1.94804	2.38968
1.525	1.95877	2.14617
1.53	1.96828	1.90133
1.535	1.97655	1.65529
1.54	1.98359	1.40822
1.545	1.98939	1.16027
1.55	1.99395	0.911599
1.555	1.99726	0.662355
1.56	1.99933	0.412697
1.565	2.00014	0.162781
1.57	1.99971	-0.087237
1.575	1.99802	-0.3372
1.58	1.99509	-0.586953
1.585	1.9909	-0.836338
1.59	1.98548	-1.0852
1.595	1.97881	-1.33339
1.6	1.97091	-1.58074
1.605	1.96177	-1.8271
1.61	1.95141	-2.07232
1.615	1.93983	-2.31625
1.62	1.92703	-2.55873
1.625	1.91304	-2.79961
1.63	1.89784	-3.03874
1.635	1.88146	-3.27597
1.64	1.86391	-3.51115
1.645	1.84519	-3.74414
1.65	1.82531	-3.97479
1.655	1.8043	-4.20295
1.66	1.78216	-4.42849
1.665	1.7589	-4.65126
1.67	1.73454	-4.87112
1.675	1.7091	-5.08794
1.68	1.6826	-5.30157
1.685	1.65504	-5.5119
1.69	1.62644	-5.71878
1.695	1.59683	-5.92208
1.7	1.56622	-6.12169
1.705	1.53464	-6.31747
1.71	1.50209	-6.5093
1.715	1.4686	-6.69706
1.72	1.4342	-6.88063
1.725	1.3989	-7.05991
1.73	1.36273	-7.23477
1.735	1.3257	-7.40511
1.74	1.28785	-7.57082
1.745	1.24919	-7.73181
1.75	1.20975	-7.88795
1.755	1.16955	-8.03917
1.76	1.12863	-8.18537
1.765	1.08699	-8.32645
1.77	1.04468	-8.46232
1.775	1.00172	-8.59291
1.78	0.958128	-8.71812
1.785	0.913939	-8.83789
1.79	0.869178	-8.95213
1.795	0.823874	-9.06078
1.8	0.778055	-9.16376
